trial_id,Accuracy,FR_neuron23[AL1],FR_neuron24[AR7],FR_neuron25[AR7],FR_neuron26[AR7],acc_bin
7,Incorrect,[1.0785310838051008],[0.2696327709512752],[0.2696327709512752],[0.0],0
35,Correct,[1.2523246275899664],[1.5654057844874583],[1.8784869413849499],[0.3130811568974916],1
39,Correct,[0.47541973025159684],[0.0],[0.7131295953773953],[0.23770986512579842],1
43,Incorrect,[0.46263858049529566],[0.6939578707429435],[0.46263858049529566],[0.23131929024764783],0
51,Correct,[0.26605934187561076],[0.5321186837512215],[0.7981780256268322],[0.0],1
67,Correct,[0.0],[0.0],[0.9508392344793314],[0.0],1
103,Correct,[0.2696327709512742],[0.5392655419025484],[1.0785310838050968],[0.2696327709512742],1
127,Correct,[1.252312081179885],[0.0],[0.6261560405899425],[0.3130780202949712],1
131,Correct,[0.0],[0.47169844695644647],[0.0],[0.0],1
135,Correct,[0.6993316720320919],[0.6993316720320919],[0.23311055734403063],[0.23311055734403063],1
143,Correct,[0.0],[0.5392656873062496],[0.0],[0.2696328436531248],1
159,Incorrect,[0.23771161682409125],[0.7131348504722738],[0.4754232336481825],[0.0],0
195,Correct,[0.2696328436531248],[0.0],[1.3481642182656237],[0.0],1
223,Correct,[0.0],[0.0],[0.313081156897493],[0.0],1
227,Correct,[0.7131294258594961],[0.4754196172396641],[1.4262588517189922],[0.0],1
231,Incorrect,[0.0],[0.0],[0.46263868751255277],[0.23131934375627639],0
239,Correct,[0.2696327709512783],[0.0],[0.5392655419025566],[0.0],1
255,Correct,[0.0],[0.0],[0.23770980861983204],[0.0],1
291,Correct,[0.5392656873062578],[0.5392656873062578],[0.5392656873062578],[0.0],1
319,Correct,[0.6261562366256802],[0.0],[0.3130781183128401],[0.0],1
323,Correct,[0.4754196172396769],[1.9016784689587076],[0.23770980861983845],[0.0],1
327,Incorrect,[0.46264200507194575],[0.23132100253597287],[1.6192470177518101],[0.0],0
335,Incorrect,[0.8088983128538225],[0.0],[0.5392655419025484],[0.2696327709512742],0
351,Correct,[0.23770980861983204],[0.23770980861983204],[0.4754196172396641],[0.0],1
387,Correct,[1.0785310838051299],[0.8088983128538473],[0.0],[0.26963277095128246],1
415,Incorrect,[0.31307802029496284],[0.9392340608848886],[0.6261560405899257],[0.0],0
419,Correct,[0.47542323364817607],[0.0],[0.0],[0.0],1
423,Correct,[0.459110684240206],[0.0],[1.147776710600515],[0.0],1
431,Incorrect,[0.09405794571426829],[0.09405794571426829],[0.28217383714280486],[0.0],0
443,Correct,[0.0],[0.9508462412691553],[1.1885578015864442],[0.47542312063457765],1
479,Incorrect,[0.0],[0.539265687306233],[1.3481642182655824],[0.2696328436531165],0
507,Correct,[0.0],[0.3130781183128401],[1.2523124732513604],[0.6261562366256802],1
511,Correct,[0.7131294258594768],[0.0],[0.9508392344793024],[0.2377098086198256],1
515,Correct,[2.313210025359607],[0.4626420050719214],[0.2313210025359607],[0.0],1
523,Correct,[0.2696350974299392],[0.5392701948598784],[0.5392701948598784],[0.2696350974299392],1
539,Correct,[0.9508392344793024],[0.2377098086198256],[0.4754196172396512],[0.2377098086198256],1
575,Correct,[0.2696350974299392],[0.0],[1.0785403897197567],[0.2696350974299392],1
603,Correct,[0.3130781183128401],[0.0],[0.6261562366256802],[0.3130781183128401],1
607,Incorrect,[0.7131294258594768],[0.9508392344793024],[0.9508392344793024],[0.7131294258594768],0
611,Correct,[0.0],[0.0],[0.6939630076079186],[0.0],1
619,Correct,[0.5392701948598784],[0.8089052922898176],[0.5392701948598784],[0.0],1
635,Correct,[0.0],[0.4754196172396512],[1.4262588517189536],[0.2377098086198256],1
671,Correct,[0.5392655419025484],[0.5392655419025484],[0.5392655419025484],[0.0],1
699,Correct,[1.2523242355107858],[0.0],[0.31308105887769644],[0.0],1
703,Correct,[0.3593942697099434],[0.1796971348549717],[0.1796971348549717],[0.0],1
711,Incorrect,[1.078531374612466],[0.539265687306233],[1.8874299055718156],[0.0],0
727,Correct,[0.2377098086198256],[0.0],[0.0],[0.0],1
