trial_id,Accuracy,FR_neuron32[PHR5],FR_neuron33[PHR5],FR_neuron34[PHR5],acc_bin
5,Incorrect,[22.49999999999998],[1.249999999999999],[1.249999999999999],0
33,Correct,[20.00000000000007],[0.0],[1.2500000000000044],1
37,Correct,[21.250000000000075],[0.0],[0.0],1
41,Incorrect,[27.5000000000001],[0.0],[1.2500000000000044],0
49,Correct,[17.500000000000064],[0.0],[0.0],1
65,Correct,[25.00000000000009],[1.2500000000000044],[0.0],1
101,Correct,[13.750000000000293],[0.0],[0.0],1
125,Correct,[18.7500000000004],[0.0],[0.0],1
129,Correct,[21.250000000000455],[0.0],[1.2500000000000266],1
133,Correct,[11.25000000000024],[0.0],[0.0],1
141,Correct,[18.749999999999734],[1.2499999999999822],[0.0],1
157,Incorrect,[13.749999999999805],[2.4999999999999645],[0.0],0
193,Correct,[21.249999999999698],[0.0],[1.2499999999999822],1
221,Correct,[26.249999999999627],[0.0],[2.4999999999999645],1
225,Correct,[19.999999999999716],[0.0],[0.0],1
229,Incorrect,[19.999999999999716],[1.2499999999999822],[1.2499999999999822],0
237,Correct,[28.74999999999959],[3.7499999999999467],[3.7499999999999467],1
253,Correct,[22.49999999999968],[0.0],[0.0],1
289,Correct,[8.749999999999876],[1.2499999999999822],[0.0],1
317,Correct,[27.499999999997655],[2.499999999999787],[1.2499999999998934],1
321,Correct,[18.7499999999984],[0.0],[0.0],1
325,Incorrect,[18.7499999999984],[1.2499999999998934],[1.2499999999998934],0
333,Incorrect,[21.249999999998188],[1.2499999999998934],[1.2499999999998934],0
349,Correct,[12.499999999998934],[2.499999999999787],[1.2499999999998934],1
385,Correct,[21.249999999998188],[2.499999999999787],[1.2499999999998934],1
413,Incorrect,[19.999999999998295],[0.0],[0.0],0
417,Correct,[22.49999999999808],[1.2499999999998934],[0.0],1
421,Correct,[17.499999999998508],[1.2499999999998934],[0.0],1
429,Incorrect,[21.249999999998188],[2.499999999999787],[2.499999999999787],0
441,Correct,[18.7499999999984],[1.2499999999998934],[0.0],1
477,Incorrect,[23.75000000000135],[1.250000000000071],[0.0],0
505,Correct,[12.50000000000071],[1.250000000000071],[2.500000000000142],1
509,Correct,[13.750000000000782],[0.0],[0.0],1
513,Correct,[26.250000000001492],[2.500000000000142],[1.250000000000071],1
521,Correct,[16.250000000000924],[1.250000000000071],[1.250000000000071],1
537,Correct,[22.50000000000128],[1.250000000000071],[1.250000000000071],1
573,Correct,[22.50000000000128],[0.0],[1.250000000000071],1
601,Correct,[16.250000000000924],[0.0],[0.0],1
605,Incorrect,[18.750000000001066],[0.0],[0.0],0
609,Correct,[15.000000000000853],[3.750000000000213],[0.0],1
617,Correct,[32.50000000000185],[1.250000000000071],[0.0],1
633,Correct,[23.75000000000135],[0.0],[0.0],1
669,Correct,[20.000000000001137],[1.250000000000071],[1.250000000000071],1
697,Correct,[13.750000000000782],[0.0],[0.0],1
701,Correct,[26.250000000001492],[0.0],[0.0],1
709,Incorrect,[17.500000000000995],[1.250000000000071],[0.0],0
725,Correct,[21.250000000001208],[0.0],[0.0],1
