trial_id,Accuracy,FR_neuron32[PHR5],FR_neuron33[PHR5],FR_neuron34[PHR5],acc_bin
564,Correct,"[0.0, 5.0, 35.0, 10.0, 15.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
576,Incorrect,"[20.0, 30.0, 5.0, 60.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 10.0, 0.0]",0
592,Incorrect,"[30.0, 10.0, 10.0, 30.0, 5.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",0
612,Correct,"[20.0, 25.0, 15.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
628,Correct,"[20.0, 50.0, 15.0, 15.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
652,Correct,"[15.0, 25.0, 15.0, 35.0, 25.0]","[5.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
660,Correct,"[20.0, 50.0, 25.0, 35.0, 10.0]","[5.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
672,Incorrect,"[10.0, 25.0, 5.0, 30.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
688,Incorrect,"[10.0, 5.0, 25.0, 15.0, 10.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",0
704,Correct,"[15.0, 10.0, 30.0, 5.0, 15.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
720,Correct,"[65.0, 5.0, 15.0, 25.0, 0.0]","[0.0, 5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
744,Incorrect,"[10.0, 20.0, 20.0, 15.0, 10.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
752,Correct,"[20.0, 30.0, 20.0, 35.0, 45.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 5.0, 0.0]",1
