trial_id,Accuracy,FR_neuron32[PHR5],FR_neuron33[PHR5],FR_neuron34[PHR5],acc_bin
7,Incorrect,[11.863841921856109],[0.5392655419025504],[0.2696327709512752],0
35,Correct,[8.766272393129766],[0.0],[0.6261623137949832],1
39,Correct,[8.319845279402946],[0.47541973025159684],[0.0],1
43,Incorrect,[8.327494448915322],[0.23131929024764783],[0.0],0
51,Correct,[10.64237367502443],[0.5321186837512215],[0.26605934187561076],1
67,Correct,[6.655874641355319],[0.0],[0.4754196172396657],1
103,Correct,[8.897881441392048],[0.8088983128538225],[0.2696327709512742],1
127,Correct,[14.401588933568675],[0.3130780202949712],[0.0],1
131,Correct,[7.5471751513031435],[1.1792461173911162],[0.23584922347822324],1
135,Correct,[7.22642727766495],[0.0],[0.23311055734403063],1
143,Correct,[9.167516684206243],[1.0785313746124991],[0.5392656873062496],1
159,Incorrect,[7.844483355195011],[0.950846467296365],[0.4754232336481825],0
195,Correct,[6.740821091328119],[0.2696328436531248],[0.2696328436531248],1
223,Correct,[11.897083962104736],[0.939243470692479],[0.0],1
227,Correct,[9.983811962032945],[0.0],[0.0],1
231,Incorrect,[6.245622281419463],[0.0],[0.6939580312688292],0
239,Correct,[10.246045296148576],[1.3481638547563914],[0.808898312853835],1
255,Correct,[9.032972727553616],[0.7131294258594961],[0.23770980861983204],1
291,Correct,[8.358618153246995],[1.0785313746125156],[0.0],1
319,Correct,[12.836202850826444],[1.2523124732513604],[0.3130781183128401],1
323,Correct,[7.6067138758348305],[0.9508392344793538],[0.0],1
327,Incorrect,[7.1709510786151585],[0.9252840101438915],[0.23132100253597287],0
335,Incorrect,[10.246045296148418],[0.0],[0.0],0
351,Correct,[6.180455024115632],[0.9508392344793282],[0.0],1
387,Correct,[9.167514212343603],[0.5392655419025649],[0.26963277095128246],1
415,Incorrect,[8.766184568258959],[0.9392340608848886],[0.0],0
419,Correct,[8.795329822491258],[0.7131348504722641],[0.23771161682408803],1
423,Correct,[9.641324369044327],[0.918221368480412],[0.459110684240206],1
431,Incorrect,[3.574201937142195],[0.09405794571426829],[0.0],0
443,Correct,[9.270750852374265],[0.7131346809518665],[0.47542312063457765],1
479,Incorrect,[12.133477964390243],[0.2696328436531165],[0.0],0
507,Correct,[12.523124732513603],[1.5653905915642004],[0.3130781183128401],1
511,Correct,[7.844423684454245],[0.0],[0.2377098086198256],1
515,Correct,[8.558877093830546],[0.4626420050719214],[0.2313210025359607],1
523,Correct,[9.437228410047872],[0.8089052922898176],[0.0],1
539,Correct,[8.795262918933547],[0.7131294258594768],[0.0],1
575,Correct,[7.8194178254682365],[0.2696350974299392],[0.0],1
603,Correct,[7.200796721195322],[0.9392343549385203],[0.0],1
607,Incorrect,[9.508392344793025],[0.7131294258594768],[0.4754196172396512],0
611,Correct,[11.566050126798643],[0.23132100253597287],[0.0],1
619,Correct,[11.594309189487385],[1.0785403897197567],[0.2696350974299392],1
635,Correct,[8.557553110313721],[0.4754196172396512],[0.0],1
671,Correct,[12.94237300566116],[0.0],[0.2696327709512742],1
699,Correct,[11.583999178474768],[0.31308105887769644],[0.6261621177553929],1
703,Correct,[2.2462141856871463],[0.1796971348549717],[0.3593942697099434],1
711,Incorrect,[10.515680902471544],[0.0],[0.2696328436531165],0
727,Correct,[8.557553110313721],[0.4754196172396512],[0.4754196172396512],1
