trial_id,Accuracy,FR_neuron23[AL1],FR_neuron24[AR7],FR_neuron25[AR7],FR_neuron26[AR7],acc_bin
10,Correct,[0.0],[1.111111111111113],[2.222222222222226],[0.0],1
26,Correct,[0.0],[0.0],[1.111111111111113],[1.111111111111113],1
46,Correct,[2.222222222222243],[1.1111111111111216],[7.777777777777851],[1.1111111111111216],1
62,Incorrect,[1.1111111111111216],[0.0],[0.0],[0.0],0
86,Incorrect,[1.111111111111104],[2.222222222222208],[3.333333333333312],[1.111111111111104],0
94,Correct,[0.0],[1.111111111111104],[0.0],[0.0],1
106,Correct,[1.111111111111104],[0.0],[3.333333333333312],[0.0],1
118,Incorrect,[0.0],[6.666666666666624],[5.555555555555521],[0.0],0
138,Correct,[0.0],[0.0],[0.0],[0.0],1
154,Correct,[0.0],[1.111111111111069],[3.333333333333207],[0.0],1
178,Correct,[2.222222222222138],[0.0],[0.0],[0.0],1
186,Correct,[7.777777777777483],[1.111111111111069],[3.333333333333207],[1.111111111111069],1
198,Incorrect,[0.0],[4.444444444444276],[2.222222222222138],[0.0],0
214,Incorrect,[0.0],[1.111111111111069],[1.111111111111069],[0.0],0
234,Correct,[7.777777777777483],[0.0],[1.111111111111069],[0.0],1
250,Correct,[1.111111111111069],[2.222222222222138],[1.111111111111069],[0.0],1
274,Correct,[0.0],[0.0],[2.222222222222138],[0.0],1
282,Correct,[2.222222222222138],[1.111111111111069],[1.111111111111069],[0.0],1
294,Incorrect,[0.0],[2.222222222222138],[1.111111111111069],[2.222222222222138],0
310,Incorrect,[0.0],[0.0],[0.0],[1.1111111111111391],0
330,Incorrect,[0.0],[1.1111111111111391],[0.0],[1.1111111111111391],0
346,Correct,[0.0],[1.1111111111111391],[4.4444444444445566],[0.0],1
370,Incorrect,[3.3333333333334174],[0.0],[1.1111111111111391],[0.0],0
378,Correct,[0.0],[0.0],[0.0],[1.1111111111111391],1
390,Incorrect,[2.2222222222222783],[2.2222222222222783],[3.3333333333334174],[3.3333333333334174],0
406,Correct,[0.0],[0.0],[3.3333333333334174],[0.0],1
426,Correct,[1.1111111111111391],[0.0],[3.3333333333334174],[1.1111111111111391],1
438,Correct,[1.1111111111111391],[2.2222222222222783],[3.3333333333334174],[1.1111111111111391],1
462,Incorrect,[0.0],[0.0],[1.1111111111111391],[0.0],0
470,Correct,[4.4444444444445566],[1.1111111111111391],[1.1111111111111391],[1.1111111111111391],1
482,Correct,[0.0],[0.0],[1.1111111111112795],[0.0],1
498,Incorrect,[2.222222222222559],[1.1111111111112795],[0.0],[0.0],0
518,Correct,[0.0],[4.444444444445118],[3.3333333333338384],[1.1111111111112795],1
534,Correct,[2.222222222222559],[1.1111111111112795],[1.1111111111112795],[0.0],1
558,Incorrect,[0.0],[1.1111111111112795],[1.1111111111112795],[0.0],0
566,Correct,[1.1111111111112795],[0.0],[0.0],[0.0],1
578,Incorrect,[0.0],[0.0],[0.0],[0.0],0
594,Incorrect,[0.0],[0.0],[3.3333333333338384],[0.0],0
614,Correct,[0.0],[0.0],[2.222222222222559],[0.0],1
630,Correct,[0.0],[1.1111111111112795],[1.1111111111112795],[0.0],1
654,Correct,[1.1111111111112795],[0.0],[1.1111111111112795],[1.1111111111112795],1
662,Correct,[0.0],[3.3333333333338384],[2.222222222222559],[0.0],1
674,Incorrect,[1.1111111111112795],[1.1111111111112795],[4.444444444445118],[1.1111111111112795],0
690,Incorrect,[1.1111111111112795],[0.0],[1.1111111111112795],[0.0],0
706,Correct,[2.222222222222559],[6.666666666667677],[2.222222222222559],[0.0],1
722,Correct,[3.3333333333338384],[0.0],[0.0],[1.1111111111112795],1
746,Incorrect,[0.0],[2.222222222222559],[4.444444444445118],[0.0],0
754,Correct,[0.0],[1.1111111111112795],[1.1111111111112795],[0.0],1
